image_id,image_path,detections,max_confidence,avg_confidence
1231.0,data\processed\images_all\1231.0.jpg,0,0.0,0.0
1232.0,data\processed\images_all\1232.0.jpg,0,0.0,0.0
1233.0,data\processed\images_all\1233.0.jpg,0,0.0,0.0
1234.0,data\processed\images_all\1234.0.jpg,0,0.0,0.0
1235.0,data\processed\images_all\1235.0.jpg,0,0.0,0.0
1236.0,data\processed\images_all\1236.0.jpg,0,0.0,0.0
1237.0,data\processed\images_all\1237.0.jpg,0,0.0,0.0
1238.0,data\processed\images_all\1238.0.jpg,0,0.0,0.0
1239.0,data\processed\images_all\1239.0.jpg,0,0.0,0.0
124.0,data\processed\images_all\124.0.jpg,0,0.0,0.0
1240.0,data\processed\images_all\1240.0.jpg,0,0.0,0.0
1241.0,data\processed\images_all\1241.0.jpg,0,0.0,0.0
1242.0,data\processed\images_all\1242.0.jpg,0,0.0,0.0
1243.0,data\processed\images_all\1243.0.jpg,0,0.0,0.0
1244.0,data\processed\images_all\1244.0.jpg,0,0.0,0.0
1245.0,data\processed\images_all\1245.0.jpg,0,0.0,0.0
1246.0,data\processed\images_all\1246.0.jpg,0,0.0,0.0
1247.0,data\processed\images_all\1247.0.jpg,0,0.0,0.0
1248.0,data\processed\images_all\1248.0.jpg,0,0.0,0.0
1249.0,data\processed\images_all\1249.0.jpg,0,0.0,0.0
125.0,data\processed\images_all\125.0.jpg,0,0.0,0.0
1250.0,data\processed\images_all\1250.0.jpg,0,0.0,0.0
1251.0,data\processed\images_all\1251.0.jpg,0,0.0,0.0
1252.0,data\processed\images_all\1252.0.jpg,0,0.0,0.0
1253.0,data\processed\images_all\1253.0.jpg,0,0.0,0.0
1254.0,data\processed\images_all\1254.0.jpg,0,0.0,0.0
1255.0,data\processed\images_all\1255.0.jpg,0,0.0,0.0
1256.0,data\processed\images_all\1256.0.jpg,0,0.0,0.0
1257.0,data\processed\images_all\1257.0.jpg,0,0.0,0.0
1258.0,data\processed\images_all\1258.0.jpg,0,0.0,0.0
1259.0,data\processed\images_all\1259.0.jpg,0,0.0,0.0
126.0,data\processed\images_all\126.0.jpg,0,0.0,0.0
1260.0,data\processed\images_all\1260.0.jpg,0,0.0,0.0
1261.0,data\processed\images_all\1261.0.jpg,0,0.0,0.0
1262.0,data\processed\images_all\1262.0.jpg,0,0.0,0.0
1263.0,data\processed\images_all\1263.0.jpg,0,0.0,0.0
1264.0,data\processed\images_all\1264.0.jpg,0,0.0,0.0
1265.0,data\processed\images_all\1265.0.jpg,0,0.0,0.0
1266.0,data\processed\images_all\1266.0.jpg,0,0.0,0.0
1267.0,data\processed\images_all\1267.0.jpg,0,0.0,0.0
1268.0,data\processed\images_all\1268.0.jpg,0,0.0,0.0
1269.0,data\processed\images_all\1269.0.jpg,0,0.0,0.0
127.0,data\processed\images_all\127.0.jpg,0,0.0,0.0
1270.0,data\processed\images_all\1270.0.jpg,0,0.0,0.0
1271.0,data\processed\images_all\1271.0.jpg,0,0.0,0.0
1272.0,data\processed\images_all\1272.0.jpg,0,0.0,0.0
1273.0,data\processed\images_all\1273.0.jpg,0,0.0,0.0
1274.0,data\processed\images_all\1274.0.jpg,0,0.0,0.0
1275.0,data\processed\images_all\1275.0.jpg,0,0.0,0.0
1276.0,data\processed\images_all\1276.0.jpg,0,0.0,0.0
1277.0,data\processed\images_all\1277.0.jpg,0,0.0,0.0
1278.0,data\processed\images_all\1278.0.jpg,0,0.0,0.0
1279.0,data\processed\images_all\1279.0.jpg,0,0.0,0.0
128.0,data\processed\images_all\128.0.jpg,0,0.0,0.0
1280.0,data\processed\images_all\1280.0.jpg,0,0.0,0.0
1281.0,data\processed\images_all\1281.0.jpg,0,0.0,0.0
1282.0,data\processed\images_all\1282.0.jpg,0,0.0,0.0
1283.0,data\processed\images_all\1283.0.jpg,0,0.0,0.0
1284.0,data\processed\images_all\1284.0.jpg,0,0.0,0.0
1285.0,data\processed\images_all\1285.0.jpg,0,0.0,0.0
1286.0,data\processed\images_all\1286.0.jpg,0,0.0,0.0
1287.0,data\processed\images_all\1287.0.jpg,0,0.0,0.0
1288.0,data\processed\images_all\1288.0.jpg,0,0.0,0.0
1289.0,data\processed\images_all\1289.0.jpg,0,0.0,0.0
129.0,data\processed\images_all\129.0.jpg,0,0.0,0.0
1290.0,data\processed\images_all\1290.0.jpg,0,0.0,0.0
1291.0,data\processed\images_all\1291.0.jpg,0,0.0,0.0
1292.0,data\processed\images_all\1292.0.jpg,0,0.0,0.0
1293.0,data\processed\images_all\1293.0.jpg,0,0.0,0.0
1294.0,data\processed\images_all\1294.0.jpg,0,0.0,0.0
1295.0,data\processed\images_all\1295.0.jpg,0,0.0,0.0
1296.0,data\processed\images_all\1296.0.jpg,0,0.0,0.0
1297.0,data\processed\images_all\1297.0.jpg,0,0.0,0.0
1298.0,data\processed\images_all\1298.0.jpg,0,0.0,0.0
1299.0,data\processed\images_all\1299.0.jpg,0,0.0,0.0
13.0,data\processed\images_all\13.0.jpg,0,0.0,0.0
130.0,data\processed\images_all\130.0.jpg,0,0.0,0.0
1300.0,data\processed\images_all\1300.0.jpg,0,0.0,0.0
1301.0,data\processed\images_all\1301.0.jpg,0,0.0,0.0
1302.0,data\processed\images_all\1302.0.jpg,0,0.0,0.0
1303.0,data\processed\images_all\1303.0.jpg,0,0.0,0.0
1304.0,data\processed\images_all\1304.0.jpg,0,0.0,0.0
1305.0,data\processed\images_all\1305.0.jpg,0,0.0,0.0
1306.0,data\processed\images_all\1306.0.jpg,0,0.0,0.0
1307.0,data\processed\images_all\1307.0.jpg,0,0.0,0.0
1308.0,data\processed\images_all\1308.0.jpg,0,0.0,0.0
1309.0,data\processed\images_all\1309.0.jpg,0,0.0,0.0
131.0,data\processed\images_all\131.0.jpg,0,0.0,0.0
1310.0,data\processed\images_all\1310.0.jpg,0,0.0,0.0
1311.0,data\processed\images_all\1311.0.jpg,0,0.0,0.0
1312.0,data\processed\images_all\1312.0.jpg,0,0.0,0.0
1313.0,data\processed\images_all\1313.0.jpg,0,0.0,0.0
1314.0,data\processed\images_all\1314.0.jpg,0,0.0,0.0
1315.0,data\processed\images_all\1315.0.jpg,0,0.0,0.0
1316.0,data\processed\images_all\1316.0.jpg,0,0.0,0.0
1317.0,data\processed\images_all\1317.0.jpg,0,0.0,0.0
1318.0,data\processed\images_all\1318.0.jpg,0,0.0,0.0
1319.0,data\processed\images_all\1319.0.jpg,0,0.0,0.0
132.0,data\processed\images_all\132.0.jpg,0,0.0,0.0
1320.0,data\processed\images_all\1320.0.jpg,0,0.0,0.0
1321.0,data\processed\images_all\1321.0.jpg,0,0.0,0.0
1322.0,data\processed\images_all\1322.0.jpg,0,0.0,0.0
1323.0,data\processed\images_all\1323.0.jpg,0,0.0,0.0
1324.0,data\processed\images_all\1324.0.jpg,0,0.0,0.0
1325.0,data\processed\images_all\1325.0.jpg,0,0.0,0.0
1326.0,data\processed\images_all\1326.0.jpg,0,0.0,0.0
1327.0,data\processed\images_all\1327.0.jpg,0,0.0,0.0
1328.0,data\processed\images_all\1328.0.jpg,0,0.0,0.0
1329.0,data\processed\images_all\1329.0.jpg,0,0.0,0.0
133.0,data\processed\images_all\133.0.jpg,0,0.0,0.0
1330.0,data\processed\images_all\1330.0.jpg,0,0.0,0.0
1331.0,data\processed\images_all\1331.0.jpg,0,0.0,0.0
1332.0,data\processed\images_all\1332.0.jpg,0,0.0,0.0
1333.0,data\processed\images_all\1333.0.jpg,0,0.0,0.0
1334.0,data\processed\images_all\1334.0.jpg,0,0.0,0.0
1335.0,data\processed\images_all\1335.0.jpg,0,0.0,0.0
1336.0,data\processed\images_all\1336.0.jpg,0,0.0,0.0
1337.0,data\processed\images_all\1337.0.jpg,0,0.0,0.0
1338.0,data\processed\images_all\1338.0.jpg,0,0.0,0.0
1339.0,data\processed\images_all\1339.0.jpg,0,0.0,0.0
134.0,data\processed\images_all\134.0.jpg,0,0.0,0.0
1340.0,data\processed\images_all\1340.0.jpg,0,0.0,0.0
1341.0,data\processed\images_all\1341.0.jpg,0,0.0,0.0
1342.0,data\processed\images_all\1342.0.jpg,0,0.0,0.0
1343.0,data\processed\images_all\1343.0.jpg,0,0.0,0.0
1344.0,data\processed\images_all\1344.0.jpg,0,0.0,0.0
1345.0,data\processed\images_all\1345.0.jpg,0,0.0,0.0
1346.0,data\processed\images_all\1346.0.jpg,0,0.0,0.0
1347.0,data\processed\images_all\1347.0.jpg,0,0.0,0.0
1348.0,data\processed\images_all\1348.0.jpg,0,0.0,0.0
1349.0,data\processed\images_all\1349.0.jpg,0,0.0,0.0
135.0,data\processed\images_all\135.0.jpg,0,0.0,0.0
1350.0,data\processed\images_all\1350.0.jpg,0,0.0,0.0
1351.0,data\processed\images_all\1351.0.jpg,0,0.0,0.0
1352.0,data\processed\images_all\1352.0.jpg,0,0.0,0.0
1353.0,data\processed\images_all\1353.0.jpg,0,0.0,0.0
1354.0,data\processed\images_all\1354.0.jpg,0,0.0,0.0
1355.0,data\processed\images_all\1355.0.jpg,0,0.0,0.0
1356.0,data\processed\images_all\1356.0.jpg,0,0.0,0.0
1357.0,data\processed\images_all\1357.0.jpg,0,0.0,0.0
